num_facilities,overall_rating,rn_hours_total,staff_turnover_pct,total_fines,total_payment_denials,hosp_per_1000_residents,falls_with_injury,pressure_ulcers,uti_pct,catheter_pct,mobility_decline_pct,restrained_pct,incontinence_pct,weight_loss_pct,depression_pct
16.0,4.5,1.2,39.5,7.0,2.0,1.5,3.3,5.0,1.5,0.6,20.1,0.0,22.6,1.4,2.9
9.0,2.9,0.4,50.5,2.0,1.0,1.4,2.8,4.4,0.7,0.4,7.0,0.0,19.7,5.9,29.9
6.0,3.8,0.7,52.4,0.0,0.0,2.2,4.4,4.6,3.7,1.7,19.7,0.0,32.2,6.3,0.2
2.0,2.0,0.3,60.3,10.0,0.0,2.2,3.3,4.1,1.5,0.6,13.1,0.0,21.3,4.2,0.0
33.0,2.5,0.7,59.0,51.0,11.0,1.9,3.2,5.7,1.0,0.2,9.4,0.0,21.9,8.7,8.3
3.0,3.3,0.6,37.6,4.0,0.0,2.8,4.6,5.1,2.6,0.0,23.8,0.0,21.0,8.8,58.4
8.0,2.9,0.7,41.1,7.0,0.0,1.1,5.5,2.1,0.5,0.3,8.4,1.0,17.2,2.7,47.0
17.0,3.6,0.5,43.9,2.0,0.0,1.9,2.7,5.3,0.3,0.2,6.1,0.0,23.1,7.0,55.8
34.0,2.1,0.4,49.1,18.0,0.0,1.7,2.2,6.7,0.6,0.3,13.8,0.0,20.4,5.5,34.5
39.0,3.3,0.3,50.8,12.0,1.0,1.6,3.9,3.6,1.0,0.8,13.4,0.0,17.7,3.8,0.6
21.0,2.4,0.3,44.4,25.0,0.0,2.6,3.5,4.9,3.4,1.9,22.9,0.1,12.0,4.9,3.0
7.0,4.1,0.4,39.6,2.0,0.0,1.9,3.2,7.1,1.5,0.8,30.5,0.1,19.3,8.4,6.2
10.0,1.9,0.6,47.6,11.0,4.0,1.9,1.9,3.6,0.9,0.7,10.4,0.1,22.4,6.1,10.2
11.0,1.9,0.4,42.3,18.0,3.0,1.9,3.9,3.0,0.7,0.2,3.7,0.0,24.7,7.6,6.7
6.0,2.5,0.4,48.4,9.0,0.0,2.5,3.2,6.4,0.8,0.4,17.4,0.0,18.6,9.4,1.3
21.0,1.8,0.6,54.5,22.0,7.0,1.7,2.3,6.9,1.8,1.6,19.1,0.1,19.6,5.8,18.4
7.0,3.3,0.6,27.2,5.0,2.0,1.8,0.7,3.9,0.5,0.9,6.0,0.0,5.5,2.9,3.4
5.0,2.4,0.3,42.7,14.0,3.0,2.0,4.1,4.4,0.5,0.8,19.6,0.0,20.9,5.5,2.5
5.0,4.6,0.7,27.5,4.0,0.0,1.8,3.3,5.5,0.7,0.5,14.5,0.0,10.6,4.5,27.6
5.0,3.8,0.7,57.2,1.0,0.0,1.3,3.5,4.8,4.0,1.8,19.1,0.0,18.2,9.4,1.5
84.0,2.9,0.6,43.2,85.0,25.0,1.8,3.0,6.0,1.1,0.6,14.0,0.2,23.5,6.3,4.9
29.0,2.3,0.4,61.2,15.0,4.0,2.1,3.5,6.8,2.4,2.3,29.4,0.3,20.0,6.2,15.0
5.0,3.6,0.7,31.7,5.0,0.0,1.3,1.8,6.5,0.2,0.2,6.3,0.1,18.6,6.3,13.4
13.0,3.1,0.7,35.6,16.0,0.0,2.2,2.4,5.3,0.4,0.4,12.5,0.0,17.2,6.5,88.5
6.0,4.0,0.5,53.3,0.0,0.0,2.0,4.6,3.1,3.3,0.3,24.3,0.0,15.5,4.1,4.3
6.0,2.0,0.6,51.2,6.0,0.0,2.3,2.9,4.9,2.9,1.2,22.5,0.0,18.2,8.9,4.0
9.0,3.6,0.6,46.8,9.0,0.0,2.0,2.7,4.9,1.1,1.0,17.3,0.0,15.9,5.2,1.5
7.0,3.9,0.6,43.9,5.0,0.0,2.4,2.1,5.1,0.5,0.4,5.7,0.0,19.0,6.0,16.2
5.0,4.2,1.3,51.3,5.0,0.0,1.5,3.7,4.1,3.6,0.1,23.2,0.0,23.7,4.6,3.5
14.0,2.9,0.3,47.9,9.0,4.0,2.6,3.4,5.2,1.0,0.4,16.6,0.0,15.8,5.0,0.8
19.0,2.9,1.3,39.3,15.0,11.0,2.0,3.2,6.4,0.8,1.1,14.9,0.8,17.4,6.2,22.0
12.0,3.5,0.5,43.3,4.0,0.0,1.3,3.6,4.3,0.8,0.4,20.2,0.0,22.5,6.3,1.6
122.0,2.8,0.6,43.6,106.0,14.0,1.6,3.7,3.8,0.5,0.1,12.2,0.0,22.3,5.0,18.2
8.0,2.5,0.4,56.7,5.0,2.0,2.4,6.0,5.3,2.2,1.4,29.5,0.4,24.1,6.5,5.2
17.0,1.8,0.5,52.2,21.0,4.0,1.9,4.1,7.9,0.8,1.0,30.1,0.0,22.6,8.9,2.0
7.0,5.0,0.8,37.3,0.0,0.0,1.0,1.4,1.6,0.7,0.1,7.2,0.0,4.8,3.2,1.0
85.0,3.2,0.6,45.5,77.0,13.0,1.8,2.5,5.2,0.8,0.5,12.9,0.0,22.6,4.2,23.8
8.0,3.4,0.8,35.1,6.0,0.0,1.9,2.8,5.1,1.0,1.3,24.7,0.0,27.8,7.0,7.1
5.0,3.8,0.3,69.3,1.0,1.0,2.3,3.8,3.6,1.0,0.8,8.8,0.0,19.9,2.0,2.5
